date,miss,followers,comments,engagement,likes
10-12-2022,Miss Guadeloupe,32603,827,0.1626506763181302,52202.0
10-12-2022,Miss Réunion,40319,617,0.1806394007787891,72215.0
10-12-2022,Miss Guyane,13008,291,0.1673816113161131,21482.0
10-12-2022,Miss Martinique,6649,847,0.4052338697548504,26097.0
10-12-2022,Miss Nouvelle-Calédonie,3127,145,0.1810361368724016,5516.0
10-12-2022,Miss Tahiti,8675,331,0.1580864553314121,13383.0
10-12-2022,Miss Saint-Martin,3408,114,0.139319248826291,4634.0
11-12-2022,Miss Guadeloupe,33161,833,0.16657217816109285,54404.0
11-12-2022,Miss Réunion,40562,600,0.1793920418125339,72165.0
11-12-2022,Miss Guyane,51859,330,0.07569177963323627,38923.0
11-12-2022,Miss Martinique,6737,806,0.3762357132254713,24541.0
11-12-2022,Miss Nouvelle-Calédonie,3176,154,0.18409949622166247,5693.0
11-12-2022,Miss Tahiti,8736,320,0.15517399267399268,13236.0
11-12-2022,Miss Saint-Martin,3430,96,0.12440233236151603,4171.0
